speech_id,party,sentiment_score,negativity_score,speech_length,avg_sentence_length,kw_democracy_count,kw_democracy_freq,kw_economy_count,kw_economy_freq,kw_welfare_health_count,kw_welfare_health_freq,kw_education_count,kw_education_freq,kw_environment_count,kw_environment_freq,kw_security_defense_count,kw_security_defense_freq,kw_foreign_policy_count,kw_foreign_policy_freq,kw_immigration_count,kw_immigration_freq
100,Republican,1.0,0.094,11881,11881.0,18,0.001515023987879808,67,0.0056392559548859526,17,0.001430855988553152,15,0.00126251998989984,10,0.0008416799932665601,35,0.0029458799764329603,26,0.002188367982493056,11,0.0009258479925932161
101,Republican,0.9998,0.09,1633,1633.0,5,0.003061849357011635,1,0.000612369871402327,4,0.002449479485609308,3,0.001837109614206981,2,0.001224739742804654,16,0.009797917942437232,4,0.002449479485609308,0,0.0
102,Republican,-0.9998,0.222,2223,2223.0,9,0.004048582995951417,2,0.000899685110211426,4,0.001799370220422852,0,0.0,0,0.0,38,0.017094017094017096,15,0.006747638326585695,0,0.0
103,Republican,1.0,0.028,3115,3115.0,4,0.0012841091492776886,38,0.012199036918138041,16,0.005136436597110754,0,0.0,7,0.0022471910112359553,1,0.00032102728731942215,3,0.0009630818619582664,0,0.0
104,Republican,0.9998,0.062,2194,2194.0,0,0.0,17,0.007748404740200547,2,0.0009115770282588879,2,0.0009115770282588879,4,0.0018231540565177757,10,0.004557885141294439,15,0.0068368277119416595,0,0.0
105,Republican,0.9994,0.057,838,838.0,0,0.0,0,0.0,1,0.0011933174224343676,0,0.0,0,0.0,1,0.0011933174224343676,0,0.0,0,0.0
106,Democrat,0.9999,0.071,2397,2397.0,23,0.009595327492699207,15,0.006257822277847309,11,0.00458906967042136,1,0.00041718815185648727,8,0.003337505214851898,4,0.001668752607425949,10,0.004171881518564873,2,0.0008343763037129745
107,Democrat,-0.9987,0.213,1022,1022.0,5,0.004892367906066536,0,0.0,1,0.0009784735812133072,0,0.0,0,0.0,24,0.023483365949119372,12,0.011741682974559686,0,0.0
108,Republican,0.9992,0.094,1668,1668.0,15,0.008992805755395683,1,0.0005995203836930455,0,0.0,0,0.0,0,0.0,22,0.013189448441247002,3,0.0017985611510791368,1,0.0005995203836930455
109,Democrat,1.0,0.065,11506,11506.0,6,0.0005214670606640013,129,0.01121154180427603,54,0.004693203545976013,4,0.0003476447071093343,2,0.00017382235355466714,21,0.0018251347123240049,7,0.000608378237441335,38,0.0033026247175386753
110,Republican,0.836,0.031,65,65.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.03076923076923077,0,0.0
111,Republican,0.9999,0.062,3129,3129.0,17,0.005433045701502077,10,0.0031959092361776927,0,0.0,0,0.0,2,0.0006391818472355385,37,0.011824864173857462,58,0.018536273569830616,0,0.0
